N,E,D
0.006283,0.003141,-0.029993
0.018846,0.009419,-0.029938
0.025125,0.012552,-0.029890
0.031402,0.015679,-0.029829
0.037674,0.018800,-0.029753
0.043943,0.021912,-0.029664
0.056465,0.028107,-0.029445
0.062717,0.031187,-0.029315
0.106251,0.052286,-0.028024
0.112429,0.055219,-0.027786
0.118594,0.058127,-0.027534
0.137011,0.066695,-0.026697
0.143120,0.069494,-0.026392
0.161352,0.077704,-0.025395
0.167395,0.080374,-0.025037
0.179424,0.085607,-0.024280
0.185410,0.088168,-0.023882
0.197320,0.093172,-0.023047
0.203243,0.095614,-0.022610
0.209143,0.098013,-0.022160
0.226704,0.104950,-0.020734
0.244042,0.111472,-0.019193
0.249768,0.113549,-0.018655
0.266781,0.119479,-0.016964
0.272394,0.121353,-0.016376
0.277978,0.123172,-0.015775
0.283530,0.124938,-0.015163
0.305425,0.131446,-0.012593
0.332035,0.138279,-0.009115
0.337250,0.139466,-0.008385
0.347569,0.141656,-0.006891
0.352671,0.142658,-0.006127
0.357735,0.143598,-0.005352
0.362759,0.144474,-0.004566
0.367744,0.145287,-0.003769
0.382454,0.147343,-0.001314
0.401478,0.149178,0.002107
0.406126,0.149474,0.002988
0.415286,0.149868,0.004780
0.419798,0.149967,0.005691
0.433056,0.149868,0.008482
0.450067,0.148817,0.012336
0.470216,0.146037,0.017357
0.485410,0.142658,0.021527
0.503202,0.137032,0.026920
0.506597,0.135724,0.028022
0.516445,0.131446,0.031370
0.525784,0.126649,0.034781
0.531722,0.123172,0.037088
0.537427,0.119479,0.039421
0.548127,0.111472,0.044158
0.562369,0.098013,0.051428
0.566626,0.093172,0.053892
0.570634,0.088168,0.056373
0.574392,0.083009,0.058871
0.579556,0.075000,0.062648
0.584147,0.066695,0.066456
0.586889,0.061010,0.069011
0.590517,0.052286,0.072864
0.592613,0.046353,0.075446
0.596713,0.031187,0.081934
0.597337,0.028107,0.083236
0.597896,0.025015,0.084540
0.598389,0.021912,0.085845
0.599178,0.015679,0.088458
0.599474,0.012552,0.089766
0.599704,0.009419,0.091074
0.600000,0.000000,0.095000
0.599868,-0.006281,0.097618
0.599704,-0.009419,0.098926
0.599474,-0.012552,0.100234
0.596713,-0.031187,0.108066
0.596024,-0.034253,0.109367
0.595269,-0.037303,0.110667
0.594449,-0.040338,0.111964
0.593563,-0.043355,0.113260
0.592613,-0.046353,0.114554
0.589372,-0.055219,0.118423
0.585550,-0.063867,0.122268
0.577898,-0.077704,0.128615
0.576176,-0.080374,0.129874
0.572544,-0.085607,0.132380
0.570634,-0.088168,0.133627
0.568661,-0.090690,0.134870
0.566626,-0.093172,0.136108
0.557866,-0.102682,0.141016
0.553118,-0.107171,0.143439
0.548127,-0.111472,0.145842
0.545542,-0.113549,0.147035
0.534604,-0.121353,0.151749
0.525784,-0.126649,0.155219
0.516445,-0.131446,0.158630
0.513219,-0.132931,0.159753
0.509936,-0.134357,0.160869
0.496248,-0.139466,0.165260
0.485410,-0.142658,0.168473
0.466288,-0.146722,0.173665
0.462308,-0.147343,0.174678
0.458278,-0.147899,0.175682
0.454197,-0.148391,0.176678
0.450067,-0.148817,0.177664
0.437381,-0.149704,0.180568
0.433056,-0.149868,0.181518
0.424264,-0.150000,0.183388
0.419798,-0.149967,0.184309
0.415286,-0.149868,0.185220
0.410728,-0.149704,0.186121
0.401478,-0.149178,0.187893
0.387275,-0.147899,0.190475
0.377592,-0.146722,0.192143
0.372689,-0.146037,0.192962
0.352671,-0.142658,0.196127
0.326783,-0.137032,0.199834
0.321496,-0.135724,0.200541
0.316173,-0.134357,0.201237
0.310816,-0.132931,0.201921
0.305425,-0.131446,0.202593
0.294542,-0.128305,0.203902
0.283530,-0.124938,0.205163
0.277978,-0.123172,0.205775
0.261139,-0.117554,0.207540
0.255468,-0.115577,0.208103
0.249768,-0.113549,0.208655
0.238289,-0.109345,0.209719
0.161352,-0.077704,0.215395
0.155291,-0.075000,0.215741
0.149214,-0.072263,0.216073
0.143120,-0.069494,0.216392
0.130886,-0.063867,0.216990
0.124747,-0.061010,0.217268
0.118594,-0.058127,0.217534
0.112429,-0.055219,0.217786
0.106251,-0.052286,0.218024
0.093861,-0.046353,0.218461
0.081429,-0.040338,0.218843
0.075200,-0.037303,0.219014
0.056465,-0.028107,0.219445
0.050207,-0.025015,0.219562
0.043943,-0.021912,0.219664
0.037674,-0.018800,0.219753
0.031402,-0.015679,0.219829
0.018846,-0.009419,0.219938
0.012565,-0.006281,0.219973
0.006283,-0.003141,0.219993
-0.006283,0.003141,0.219993
-0.018846,0.009419,0.219938
-0.025125,0.012552,0.219890
-0.031402,0.015679,0.219829
-0.037674,0.018800,0.219753
-0.062717,0.031187,0.219315
-0.075200,0.037303,0.219014
-0.081429,0.040338,0.218843
-0.093861,0.046353,0.218461
-0.106251,0.052286,0.218024
-0.130886,0.063867,0.216990
-0.143120,0.069494,0.216392
-0.149214,0.072263,0.216073
-0.167395,0.080374,0.215037
-0.179424,0.085607,0.214280
-0.185410,0.088168,0.213882
-0.191376,0.090690,0.213471
-0.226704,0.104950,0.210734
-0.244042,0.111472,0.209193
-0.249768,0.113549,0.208655
-0.261139,0.117554,0.207540
-0.266781,0.119479,0.206964
-0.272394,0.121353,0.206376
-0.277978,0.123172,0.205775
-0.289052,0.126649,0.204538
-0.300000,0.129904,0.203253
-0.305425,0.131446,0.202593
-0.310816,0.132931,0.201921
-0.316173,0.134357,0.201237
-0.332035,0.138279,0.199115
-0.337250,0.139466,0.198385
-0.342428,0.140592,0.197644
-0.347569,0.141656,0.196891
-0.362759,0.144474,0.194566
-0.387275,0.147899,0.190475
-0.392052,0.148391,0.189624
-0.401478,0.149178,0.187893
-0.406126,0.149474,0.187012
-0.415286,0.149868,0.185220
-0.419798,0.149967,0.184309
-0.433056,0.149868,0.181518
-0.441658,0.149474,0.179609
-0.454197,0.148391,0.176678
-0.462308,0.147343,0.174678
-0.474093,0.145287,0.171613
-0.477918,0.144474,0.170575
-0.481690,0.143598,0.169528
-0.489077,0.141656,0.167410
-0.492690,0.140592,0.166339
-0.496248,0.139466,0.165260
-0.503202,0.137032,0.163080
-0.506597,0.135724,0.161978
-0.509936,0.134357,0.160869
-0.513219,0.132931,0.159753
-0.516445,0.131446,0.158630
-0.525784,0.126649,0.155219
-0.531722,0.123172,0.152912
-0.537427,0.119479,0.150579
-0.542896,0.115577,0.148222
-0.548127,0.111472,0.145842
-0.550653,0.109345,0.144643
-0.553118,0.107171,0.143439
-0.555522,0.104950,0.142230
-0.562369,0.098013,0.138572
-0.564528,0.095614,0.137342
-0.566626,0.093172,0.136108
-0.568661,0.090690,0.134870
-0.576176,0.080374,0.129874
-0.581150,0.072263,0.126086
-0.585550,0.063867,0.122268
-0.588163,0.058127,0.119707
-0.589372,0.055219,0.118423
-0.590517,0.052286,0.117136
